year,pop,inc100k,prev100k,mort100k,mort100klo,mort100khi
2005,296745,3.9,5.3,0.33,0.33,0.33
2006,300693,5,7.8,0.33,0.33,0.33
2007,304957,4.5,6.4,0.32,0.31,0.32
2008,309394,2.2,3.8,0.31,0.31,0.31
2009,313804,4.4,6,0.31,0.3,0.31
2010,318042,8,14,0.29,0.29,0.29
2011,322052,2.9,4.1,0.28,0.28,0.28
2012,325867,3.5,4.3,0.27,0.27,0.27
1990,868890700,216,465,38,25,55
1991,886348712,216,466,38,25,55
1992,903749636,216,467,38,25,55
1993,921107534,216,467,38,25,55
1994,938452550,216,467,38,25,55
1995,955804355,216,465,38,25,55
1996,973147577,216,463,38,25,55
1997,990460131,216,459,39,25,55
1998,1007746556,216,454,39,25,55
1999,1025014711,216,447,39,25,55
2000,1042261758,216,438,39,25,55
2001,1059500888,216,427,39,25,55
2002,1076705723,215,414,39,25,55
2003,1093786762,214,399,38,24,55
2004,1110626108,212,383,37,24,53
2005,1127143548,209,365,36,26,47
2006,1143289350,205,347,34,22,49
2007,1159095250,201,328,33,21,46
2008,1174662334,196,308,31,20,44
2009,1190138069,190,289,29,19,41
2010,1205624648,185,269,27,17,38
2011,1221156319,181,249,24,16,35
2012,1236686732,176,230,22,14,32
1990,178633239,206,442,53,18,106
1991,181786329,205,456,56,19,111
1992,184916848,205,468,58,20,115
1993,188019278,205,476,59,21,117
1994,191085673,205,481,60,21,119
1995,194112556,205,483,61,21,120
1996,197097887,204,487,61,22,121
1997,200050444,204,485,61,22,120
1998,202990922,204,503,60,22,118
1999,205946831,204,491,58,21,114
2000,208938698,204,474,55,20,107
2001,211970371,204,458,52,20,101
2002,215038285,204,437,49,19,93
2003,218145617,202,413,44,17,84
2004,221293797,201,388,41,16,76
2005,224480901,199,369,38,15,70
2006,227709821,197,353,35,15,64
2007,230972808,195,336,32,14,59
2008,234243489,193,324,31,13,55
2009,237486894,191,315,29,13,52
2010,240676485,189,306,28,12,50
2011,243801639,187,301,27,12,49
2012,246864191,185,297,27,12,48
1990,56361868,31,51,4.6,1.5,9.4
1991,57472293,34,55,5.1,1.7,10
1992,58307457,35,58,5.4,1.8,11
1993,58982430,36,59,5.5,1.8,11
1994,59663107,36,59,5.5,1.8,11
1995,60468352,35,58,5.4,1.8,11
1996,61440887,34,55,5.1,1.7,10
1997,62542531,31,50,4.6,1.5,9.4
1998,63713397,29,46,4.2,1.4,8.6
1999,64858754,27,44,4,1.3,8.1
2000,65911052,26,41,3.8,1.3,7.7
2001,66857624,24,39,3.6,1.2,7.3
2002,67727274,23,38,3.4,1.1,7
2003,68543171,22,36,3.3,1.1,6.7
2004,69342126,21,34,3.1,1,6.4
2005,70152384,20,32,3,0.97,6
2006,70976584,20,31,2.9,0.94,5.8
2007,71809219,19,31,2.8,0.93,5.7
2008,72660887,19,31,2.8,0.92,5.7
2009,73542954,19,31,2.9,0.94,5.8
2010,74462314,20,32,3,0.98,6
2011,75424285,21,34,3.1,1,6.3
2012,76424443,21,33,2.9,0.92,6.1
1990,17517521,54,94,6.9,2.3,14
1991,18009865,53,93,6.6,2.2,14
1992,18547047,53,91,6.4,2,13
1993,19123947,53,87,6.2,1.9,13
1994,19731733,53,83,6,1.7,13
1995,20363138,53,79,5.7,1.5,13
1996,21017108,52,73,5.5,1.3,13
1997,21693597,52,66,5.3,1.2,12
1998,22387179,51,59,5.1,1,12
1999,23091408,51,58,4.9,0.89,12
2000,23801156,50,61,4.7,0.77,12
2001,24516842,50,63,4.5,0.67,12
2002,25238267,49,66,4.3,0.59,12
2003,25959531,49,67,4.2,0.52,12
2004,26673536,48,68,4,0.45,11
2005,27377045,48,70,3.9,0.38,11
2006,28064095,48,72,3.7,0.32,11
2007,28740630,47,72,3.6,0.26,11
2008,29429829,46,73,3.4,0.21,11
2009,30163199,46,79,3.3,0.4,9.2
2010,30962380,45,78,3.2,0.13,11
2011,31837015,45,73,3,0.1,11
2012,32778030,45,73,2.9,0.08,11
1990,3531185,20,27,1.5,1.4,1.5
1991,3537591,21,29,1.4,1.4,1.4
1992,3549266,20,28,1.1,1.1,1.1
1993,3565915,19,29,1.7,1.7,1.7
1994,3586646,17,25,1.2,1.2,1.2
1995,3610918,15,19,1,1,1
1996,3638411,14,18,0.92,0.91,0.93
1997,3669799,13,17,1,1,1
1998,3706616,13,18,1.2,1.2,1.2
1999,3750879,14,21,1.3,1.3,1.3
2000,3803741,12,16,1.5,1.5,1.5
2001,3865839,12,16,0.7,0.7,0.7
2002,3935875,11,14,0.69,0.69,0.69
2003,4010652,12,16,0.55,0.55,0.55
2004,4085790,11,16,0.95,0.95,0.95
2005,4158002,12,16,0.37,0.37,0.37
2006,4226104,12,17,0.47,0.47,0.47
2007,4290537,12,16,0.75,0.74,0.75
2008,4351657,11,16,0.42,0.42,0.42
2009,4410422,12,19,0.55,0.55,0.56
2010,4467561,10,14,0.61,0.61,0.61
2011,4522844,10,14,0.43,0.43,0.43
2012,4575890,8.6,11,0.39,0.38,0.39
1990,4499161,6,8.6,0.45,0.43,0.46
1991,4641600,13,22,0.57,0.55,0.58
1992,4806983,8.3,11,0.53,0.51,0.54
1993,4985652,9.7,14,0.62,0.6,0.63
1994,5163901,8.8,11,0.94,0.91,0.96
1995,5331622,8.6,10,1.3,1.3,1.4
1996,5486219,7.7,9.8,0.78,0.76,0.8
1997,5630066,8.6,10,1.2,1.1,1.2
1998,5764197,13,21,0.83,0.8,0.86
1999,5891263,10,14,0.54,0.52,0.55
2000,6013711,10,14,0.57,0.56,0.58
2001,6129590,9.6,13,0.26,0.25,0.26
2002,6238958,8.6,11,0.41,0.4,0.42
2003,6348782,8.5,12,0.36,0.35,0.37
2004,6468354,8.1,12,0.22,0.22,0.23
2005,6603677,6.5,8.1,0.34,0.33,0.35
2006,6758761,5.8,7,0.26,0.25,0.27
2007,6930068,6.6,9.4,0.37,0.36,0.38
2008,7106828,5.2,6.2,0.2,0.19,0.2
2009,7273804,5.5,6.9,0.19,0.19,0.2
2010,7420368,5.3,6.1,0.23,0.23,0.24
2011,7542327,6.3,8.3,0.23,0.22,0.23
2012,7643905,7.6,11,0.23,0.22,0.23
1990,56831853,8.6,12,1.1,1,1.1
1991,56855481,7.5,9.1,1.1,1,1.1
1992,56894444,9.5,13,0.98,0.94,1
1993,56936675,9.6,13,1,0.97,1.1
1994,56964257,12,18,1,0.98,1
1995,56967071,11,17,1.2,1.2,1.2
1996,56937309,8.4,10,1.1,1.1,1.1
1997,56887127,9.3,12,1.1,1.1,1.1
1998,56850303,12,18,1,0.99,1
1999,56872736,9,12,0.94,0.93,0.96
2000,56986085,7.1,9,0.87,0.84,0.91
2001,57200233,8.6,12,0.76,0.74,0.78
2002,57501450,7.8,10,0.72,0.72,0.73
2003,57868021,8.7,13,0.69,0.68,0.7
2004,58267068,7.8,11,0.66,0.65,0.67
2005,58671855,7.5,10,0.63,0.63,0.64
2006,59078271,8.1,12,0.6,0.6,0.61
2007,59485505,5.3,7.3,0.56,0.56,0.57
2008,59873820,7.9,12,0.56,0.56,0.57
2009,60220314,7.4,11,0.58,0.57,0.58
2010,60508978,6,7.5,0.49,0.49,0.5
2011,60729316,6.5,8.8,0.46,0.46,0.47
2012,60884593,6.7,9.4,0.43,0.43,0.44
1990,2365211,6.5,9.5,0.87,0.68,1.1
1991,2380807,6.5,9.5,1.5,1.2,1.8
1992,2398663,6.5,9.4,1.3,1.1,1.7
1993,2418542,6.5,9.2,1.2,0.97,1.5
1994,2439839,6.5,9.1,1.1,0.88,1.4
1995,2462051,6.5,8.9,1,0.81,1.2
1996,2485230,6.5,8.7,0.92,0.74,1.1
1997,2509439,6.5,8.5,0.84,0.67,1
1998,2534127,6.5,8.3,0.77,0.61,0.93
1999,2558579,6.5,8.2,0.7,0.56,0.85
2000,2582219,6.5,8.1,0.63,0.51,0.77
2001,2604946,6.5,8.1,0.58,0.47,0.7
2002,2626716,6.5,8.3,0.53,0.43,0.64
2003,2647116,6.5,8.4,0.48,0.39,0.58
2004,2665680,6.5,8.6,0.44,0.35,0.52
2005,2682149,6.5,8.7,0.4,0.32,0.48
2006,2696227,6.5,8.9,0.36,0.3,0.43
2007,2708152,6.5,9,0.34,0.28,0.4
2008,2718862,6.6,9.1,0.31,0.25,0.37
2009,2729660,6.6,9.2,0.28,0.23,0.34
2010,2741485,6.6,9.4,0.26,0.21,0.31
2011,2754669,6.6,9.4,0.24,0.2,0.28
2012,2768941,6.6,9.5,0.22,0.18,0.26
1990,122249285,49,68,3.1,3,3.2
1991,122702527,47,66,2.8,2.8,2.9
1992,123180357,46,63,2.8,2.8,2.9
1993,123658854,45,63,2.7,2.7,2.8
1994,124101546,41,55,2.6,2.5,2.6
1995,124483305,40,53,2.6,2.6,2.7
1996,124794906,39,52,2.3,2.3,2.4
1997,125048712,39,53,2.3,2.2,2.3
1998,125266855,40,59,2.3,2.3,2.4
1999,125481436,37,53,2.4,2.4,2.5
2000,125714674,36,51,2.2,2.2,2.2
2001,125973930,32,44,2,2,2.1
2002,126249090,30,40,1.9,1.9,1.9
2003,126523597,29,40,1.9,1.9,2
2004,126772899,27,38,1.9,1.9,2
2005,126978754,25,34,1.8,1.8,1.9
2006,127136020,23,31,1.8,1.8,1.8
2007,127248855,22,31,1.8,1.7,1.8
2008,127319434,22,30,1.8,1.8,1.8
2009,127352872,21,30,1.8,1.7,1.8
2010,127352833,20,29,1.7,1.7,1.8
2011,127319206,20,28,1.8,1.7,1.8
2012,127249704,19,26,1.7,1.6,1.7
1990,3358453,14,18,1.2,0,9.9
1991,3538411,14,18,1.2,0,9.7
1992,3743129,14,17,1.1,0,9.5
1993,3955939,13,16,1,0,9.3
1994,4153717,12,16,0.97,0,9.2
1995,4320158,12,15,0.93,0,9
1996,4450852,11,14,0.9,0,8.9
1997,4551911,10,13,0.87,0,8.8
1998,4630762,9.6,12,0.85,0,8.8
1999,4699278,8.8,11,0.83,0,8.7
2000,4767476,8.1,10,0.81,0,8.6
2001,4835108,7.7,9.8,0.79,0,8.5
2002,4902974,7.5,9.5,0.77,0,8.3
2003,4983508,7.3,9.1,0.75,0,8.1
2004,5092185,7.2,8.9,0.72,0,8
2005,5239417,7.2,9,0.7,0,7.8
2006,5428896,7.1,8.8,0.67,0,7.6
2007,5655856,6.9,8.7,0.64,0,7.3
2008,5911202,6.8,9.3,0.62,0,7.1
2009,6181307,6.5,9.1,0.59,0,6.5
2010,6454554,6.3,8.8,0.57,0,6.5
2011,6731151,6,8.5,0.55,0,6.3
2012,7009444,5.8,8.5,0.53,0,6
1990,16171900,79,116,13,11,14
1991,16154660,124,233,13,12,15
1992,16070184,173,359,15,13,16
1993,15929712,224,485,17,16,19
1994,15750801,274,603,23,21,25
1995,15549632,318,706,33,31,36
1996,15326132,357,786,45,40,49
1997,15085965,387,844,47,43,52
1998,14858241,403,859,50,44,56
1999,14679568,383,780,38,34,43
2000,14575644,351,668,33,29,37
2001,14559255,325,576,60,54,66
2002,14623188,290,478,31,28,34
2003,14747754,263,404,29,26,32
2004,14902452,247,366,27,24,30
2005,15064088,235,340,28,25,30
2006,15227211,217,301,24,22,26
2007,15396045,215,308,21,20,23
2008,15568294,184,241,20,18,21
2009,15743552,196,286,16,14,17
2010,15921127,182,266,13,12,15
2011,16097998,193,312,11,9.1,12
2012,16271201,137,189,7.8,6.3,9.3
1990,23446439,139,272,30,12,57
1991,24237056,139,246,26,11,49
1992,25036941,142,225,23,9.6,42
1993,25839132,148,209,20,8.7,36
1994,26634659,157,200,18,8,32
1995,27418077,169,196,16,7.4,29
1996,28186224,184,198,15,7.1,27
1997,28943647,203,205,15,7,26
1998,29702246,230,225,16,7.6,28
1999,30478597,259,250,18,8.2,30
2000,31285050,286,273,19,9,32
2001,32126351,314,301,21,10,35
2002,33000524,336,322,22,11,37
2003,33905011,349,333,22,11,37
2004,34834606,357,339,22,11,36
2005,35785718,359,345,23,12,36
2006,36757498,355,347,23,12,36
2007,37752304,347,344,23,13,35
2008,38773277,332,330,21,13,32
2009,39824734,312,312,20,12,29
2010,40909194,298,306,20,12,30
2011,42027891,288,305,21,13,32
2012,43178141,272,299,22,13,34
1990,71040,116,249,55,41,72
1991,72343,146,197,44,27,64
1992,73434,189,219,14,11,18
1993,74395,268,302,40,31,50
1994,75346,389,533,45,29,65
1995,76378,505,770,57,41,76
1996,77511,587,940,15,11,21
1997,78725,605,965,34,24,46
1998,80018,534,785,41,30,53
1999,81377,443,597,18,11,27
2000,82788,372,487,15,11,20
2001,84261,332,428,14,9.7,18
2002,85799,342,446,17,13,20
2003,87371,393,545,17,14,19
2004,88936,448,661,17,15,18
2005,90468,488,747,17,16,17
2006,91953,514,805,17,9.5,26
2007,93401,447,632,17,9.5,26
2008,94832,442,618,17,9.5,26
2009,96272,361,455,17,9.5,26
2010,97743,366,477,17,9.5,26
2011,99250,432,664,17,9.5,26
2012,100786,429,628,17,9.5,26
1990,2059774,15,23,0.94,0.81,1.1
1991,1999651,19,29,0.94,0.82,1.1
1992,1889536,17,21,0.94,0.84,1
1993,1758579,14,20,1.1,0.94,1.2
1994,1647698,17,23,0.75,0.71,0.8
1995,1586123,24,29,1.4,1.3,1.5
1996,1585244,29,38,0.78,0.73,0.83
1997,1635999,37,55,1.3,1.2,1.4
1998,1722208,38,54,0.45,0.44,0.46
1999,1818405,33,41,1.2,1.1,1.2
2000,1906231,31,41,0.76,0.75,0.78
2001,1980604,29,36,0.9,0.88,0.92
2002,2048232,33,48,1.2,1.2,1.2
2003,2116353,31,44,0.77,0.76,0.78
2004,2196466,29,40,0.91,0.9,0.92
2005,2296314,26,31,0.99,0.97,1
2006,2417445,31,42,0.8,0.79,0.81
2007,2554920,29,37,1.1,1.1,1.1
2008,2702221,37,58,0.7,0.69,0.72
2009,2850102,38,60,1.1,1.1,1.1
2010,2991580,37,58,1.1,1.1,1.1
2011,3124705,25,31,0.58,0.57,0.58
2012,3250496,26,33,0.94,0.93,0.95
1990,4394502,92,170,9.1,7.6,11
1991,4441582,105,200,10,8.7,12
1992,4476402,119,231,11,9.4,13
1993,4506563,135,263,12,11,15
1994,4542747,151,296,16,14,19
1995,4592135,168,326,16,13,18
1996,4658815,186,360,16,14,19
1997,4739263,205,394,19,17,22
1998,4823870,221,419,21,19,24
1999,4898865,237,439,22,20,25
2000,4954850,249,449,25,23,28
2001,4988162,250,439,29,26,32
2002,5003394,246,422,24,22,27
2003,5009453,238,405,22,20,25
2004,5019310,226,373,21,18,24
2005,5042381,208,334,16,16,16
2006,5081620,192,303,17,17,17
2007,5134297,178,276,14,14,14
2008,5197274,164,248,12,12,12
2009,5265218,151,222,12,12,12
2010,5334223,141,204,11,11,12
2011,5403419,141,211,10,10,11
2012,5474213,141,217,9.5,9.3,9.8
1990,4244520,492,1491,41,25,60
1991,4369940,473,1437,38,23,56
1992,4497827,455,1385,35,21,51
1993,4625861,437,1326,32,20,48
1994,4751142,420,1275,30,19,44
1995,4871472,403,1224,29,18,42
1996,4986592,387,1170,27,17,40
1997,5096724,372,1115,25,15,37
1998,5200898,358,1063,24,15,35
1999,5298146,344,1011,22,14,33
2000,5388281,330,961,21,13,31
2001,5470169,317,912,20,12,29
2002,5545245,305,862,19,12,28
2003,5619069,293,824,18,11,26
2004,5699112,281,780,17,10,25
2005,5790646,270,737,16,9.7,23
2006,5895930,260,701,15,9.2,22
2007,6013278,250,663,14,8.7,21
2008,6139127,240,627,13,8.2,20
2009,6267968,230,596,13,7.8,19
2010,6395713,221,565,12,7.3,17
2011,6521314,213,540,11,6.9,17
2012,6645827,204,514,11,6.5,16
1990,2663985,57,114,7.2,7.1,7.3
1991,2645056,73,142,5.8,5.7,5.9
1992,2611306,88,170,7.3,7.1,7.5
1993,2568603,102,196,9.8,9.5,10
1994,2525444,115,220,13,13,14
1995,2487988,126,237,14,14,14
1996,2458305,133,246,12,11,12
1997,2434628,137,246,13,13,13
1998,2414650,137,238,14,14,15
1999,2394521,130,217,13,13,13
2000,2371481,121,194,13,12,13
2001,2345309,113,174,12,11,12
2002,2317261,103,153,8.7,8.5,9
2003,2287780,93,134,9.3,9.1,9.6
2004,2257647,84,118,7.9,7.7,8.2
2005,2227559,75,102,8.1,7.9,8.3
2006,2197359,67,88,8.5,8.2,8.8
2007,2167157,65,87,5.9,5.8,6.1
2008,2138258,56,70,5.3,5.1,5.5
2009,2112337,52,63,4.5,4.4,4.7
2010,2090519,50,63,4,3.8,4.1
2011,2073385,48,60,3.3,3.2,3.4
2012,2060428,53,76,2.6,2.5,2.6
1990,2703019,35,45,3.1,1.7,5
1991,2752473,34,43,3,1.6,4.7
1992,2821868,33,42,2.8,1.5,4.5
1993,2900862,32,40,2.6,1.4,4.2
1994,2974647,31,37,2.4,1.2,3.9
1995,3033406,29,35,2.2,1.1,3.7
1996,3070984,27,32,2,0.97,3.4
1997,3092718,25,29,1.8,0.89,3.1
1998,3114014,22,27,1.6,0.81,2.8
1999,3156706,20,24,1.5,0.72,2.5
2000,3235380,17,20,1.2,0.61,2.1
2001,3357600,15,18,1.2,0.59,1.9
2002,3515604,13,16,1.1,0.54,1.7
2003,3690110,12,15,1,0.55,1.7
2004,3853582,12,15,1.1,0.6,1.8
2005,3986865,11,15,1.2,0.62,1.8
2006,4079823,11,15,1.2,0.62,1.9
2007,4139813,12,16,1.2,0.64,1.9
2008,4186088,12,17,1.3,0.69,2.1
2009,4246924,13,18,1.4,0.74,2.3
2010,4341092,14,19,1.5,0.8,2.4
2011,4478105,15,20,1.6,0.86,2.6
2012,4647079,16,20,1.5,0.81,2.5
1990,1597534,184,267,22,6.5,46
1991,1627900,201,269,20,6.8,41
1992,1660360,218,267,18,5.9,37
1993,1693459,244,279,18,3.8,42
1994,1725118,280,301,18,5.7,39
1995,1753824,323,323,19,6.5,39
1996,1779197,362,326,18,2.9,45
1997,1801679,409,336,17,1.4,50
1998,1821609,461,354,16,1.3,50
1999,1839611,519,378,17,0.38,63
2000,1856225,553,387,16,0.38,58
2001,1871500,576,394,14,0,86
2002,1885487,613,412,15,0,80
2003,1898757,635,420,14,0.12,58
2004,1912022,643,418,12,0,73
2005,1925844,639,409,10,0,82
2006,1940413,638,407,9.6,0,62
2007,1955784,637,415,10,0,90
2008,1972199,635,433,12,0,66
2009,1989873,634,432,13,0.01,66
2010,2008921,633,425,14,0.02,66
2011,2029516,632,439,17,0.2,67
2012,2051545,630,424,17,0.18,68
1990,2102877,199,321,29,6,71
1991,2066060,203,356,35,9.6,77
1992,2028672,207,387,40,13,83
1993,2006349,211,412,44,15,88
1994,2019148,215,434,48,17,93
1995,2079921,219,453,51,19,97
1996,2197801,223,466,53,20,102
1997,2365290,228,477,54,20,105
1998,2558085,232,483,55,20,107
1999,2741755,237,483,55,20,107
2000,2891968,242,482,54,20,104
2001,2998770,246,478,53,20,102
2002,3070673,251,477,52,20,100
2003,3124222,256,474,51,19,97
2004,3184643,261,474,50,19,95
2005,3269786,266,475,50,19,94
2006,3384791,272,479,50,19,93
2007,3522294,277,484,49,20,93
2008,3672714,283,487,49,20,91
2009,3821440,288,490,48,20,90
2010,3957990,293,493,48,20,88
2011,4079697,299,494,47,20,86
2012,4190435,304,495,46,20,84
1990,4259811,40,86,10,3.9,20
1991,4359515,40,79,9.1,3.6,17
1992,4459214,40,73,8,3.3,15
1993,4558021,40,68,7.2,3,13
1994,4654483,40,64,6.5,2.8,12
1995,4747619,40,61,5.9,2.6,11
1996,4837354,40,59,5.6,2.5,10
1997,4924347,40,59,5.6,2.4,9.9
1998,5009240,40,58,5.5,2.4,9.8
1999,5092939,40,58,5.4,2.4,9.6
2000,5176185,40,57,5.3,2.3,9.4
2001,5258677,40,56,5.1,2.3,9.1
2002,5340389,40,55,4.9,2.2,8.6
2003,5422612,40,53,4.5,2.1,7.8
2004,5507000,40,52,4.3,1.9,7.8
2005,5594450,40,51,4.2,2.1,6.9
2006,5686475,40,50,4.1,1.9,7.2
2007,5782108,40,51,4.2,2,7.2
2008,5876805,40,53,4.5,1.9,8
2009,5964325,40,55,4.8,2.1,8.6
2010,6040612,40,58,5.4,2.4,9.5
2011,6103233,40,61,5.5,2.3,10
2012,6154623,40,66,6.8,2.9,12
1990,3697393,44,69,7,7,7
1991,3698824,55,85,8.1,8,8.2
1992,3689365,65,100,8.2,8.1,8.4
1993,3671803,74,113,11,10,11
1994,3650348,82,126,12,12,12
1995,3628079,89,136,14,13,14
1996,3606012,95,146,14,14,14
1997,3583272,101,155,12,11,12
1998,3558827,105,161,12,12,12
1999,3530932,105,160,11,11,11
2000,3498446,103,157,11,10,11
2001,3461616,100,152,10,10,10
2002,3421430,95,142,9.7,9.6,9.7
2003,3378410,91,134,9.7,9.7,9.8
2004,3333259,89,131,9.3,9.2,9.3
2005,3286782,87,127,11,11,11
2006,3238819,84,123,11,11,11
2007,3190088,81,118,11,11,11
2008,3143310,79,113,11,11,11
2009,3101973,76,108,8.3,8.3,8.4
2010,3068457,73,103,6.9,6.8,6.9
2011,3043980,69,97,5,4.9,5
2012,3027621,66,93,3,2.9,3
1990,381790,14,22,0.55,0.54,0.56
1991,386358,14,22,0.27,0.26,0.28
1992,391403,7.3,12,0,0,0
1993,396811,10,13,0.25,0.25,0.26
1994,402435,9.4,12,1,1,1.1
1995,408152,9,11,0,0,0
1996,414004,11,17,0,0,0
1997,419979,10,14,0.49,0.48,0.5
1998,425834,12,18,1.2,1.2,1.2
1999,431268,9.9,13,0.49,0.48,0.5
2000,436111,12,17,0.24,0.23,0.24
2001,440137,8.1,11,0.48,0.47,0.49
2002,443524,8,10,0.72,0.7,0.75
2003,446996,14,24,0.65,0.64,0.67
2004,451548,7.9,9.8,0.73,0.69,0.76
2005,457847,9.3,13,0.22,0.21,0.22
2006,466209,8.1,11,0.21,0.21,0.21
2007,476294,9.4,14,0.41,0.4,0.41
2008,487310,6.6,7.9,0.43,0.42,0.44
2009,498116,6.2,7.5,0.41,0.4,0.41
2010,507885,6.6,8.9,0.19,0.19,0.2
2011,516348,5.6,7,0.19,0.19,0.19
2012,523744,6.5,10,0.42,0.41,0.43
1990,11545782,391,946,114,43,220
1991,11898267,384,911,108,41,207
1992,12263899,371,855,101,39,191
1993,12643864,359,812,94,37,178
1994,13039754,347,769,88,35,166
1995,13452526,335,729,82,33,154
1996,13882646,324,694,78,31,145
1997,14329239,315,666,75,30,139
1998,14790245,308,647,72,29,134
1999,15262817,300,628,71,29,131
2000,15744811,293,609,69,28,127
2001,16235767,286,593,66,27,122
2002,16736029,282,580,64,26,118
2003,17245275,274,555,61,25,112
2004,17763367,268,537,58,24,107
2005,18290394,262,522,56,24,103
2006,18826126,256,502,54,23,99
2007,19371023,252,492,53,22,96
2008,19926785,247,477,51,21,92
2009,20495695,245,472,50,21,90
2010,21079532,242,461,48,21,88
2011,21678934,238,452,47,20,85
2012,22293914,234,442,46,19,84
1990,9447123,326,412,40,7.4,101
1991,9657518,361,423,40,8,99
1992,9759434,392,426,40,8.2,96
1993,9800635,419,428,39,8.1,94
1994,9851737,442,427,38,8,92
1995,9964065,462,427,37,7.6,90
1996,10153315,479,421,36,7.4,88
1997,10404259,488,414,35,6.6,86
1998,10700180,488,400,33,5.5,84
1999,11012707,481,383,31,4.3,83
2000,11321496,467,365,28,3.2,80
2001,11623166,445,342,25,2.1,77
2002,11926778,422,321,23,1.5,73
2003,12238739,401,299,21,1.1,69
2004,12569091,378,279,19,0.95,63
2005,12924746,354,262,18,1,57
2006,13307535,328,255,17,1.8,51
2007,13713758,301,243,17,2.7,43
2008,14138207,273,225,15,4,35
2009,14573338,243,204,14,5.6,26
2010,15013694,219,182,12,4.5,23
2011,15457531,191,156,9.9,3.6,19
2012,15906483,163,140,9,3.6,17
1990,18211097,127,242,6.6,2,14
1991,18709963,123,232,6.6,2.1,14
1992,19205112,119,220,6.6,2.1,14
1993,19701410,115,210,6.6,2.2,13
1994,20206546,111,199,6.6,2.2,13
1995,20725374,108,189,6.6,2.3,13
1996,21259831,105,180,6.6,2.4,13
1997,21805835,102,170,6.6,2.6,12
1998,22355057,99,162,6.7,2.7,12
1999,22896048,97,154,6.8,2.9,12
2000,23420751,95,148,6.9,3,12
2001,23925742,92,143,7.5,3.5,13
2002,24413795,91,139,6.7,3.2,11
2003,24890654,89,136,6.4,3.1,11
2004,25365089,87,133,6,3,10
2005,25843466,86,129,5.8,3.2,9.1
2006,26327098,85,126,6,3.3,9.6
2007,26813819,84,123,5.8,3.3,8.9
2008,27302348,83,120,5.4,3.2,8.2
2009,27790324,83,116,5.4,3.4,7.9
2010,28275835,82,112,5.4,3.6,7.6
2011,28758968,81,107,5.4,3.8,7.3
2012,29239927,80,101,5.4,4.1,7
1990,215859,150,311,27,24,31
1991,221963,140,274,24,21,27
1992,227863,130,239,21,18,24
1993,233611,121,211,18,15,21
1994,239291,130,230,16,13,19
1995,244965,118,197,14,11,17
1996,250659,106,167,12,9.2,15
1997,256347,84,117,10,7.8,13
1998,261973,84,122,8.9,6.6,11
1999,267456,72,99,7.7,5.6,10
2000,272745,60,81,5.4,3.8,7.1
2001,277825,63,95,6.9,4.2,10
2002,282743,55,80,10,6.6,14
2003,287594,60,94,2.9,2,3.9
2004,292505,51,74,0.49,0.39,0.6
2005,297576,51,78,2,1.6,2.5
2006,302825,41,53,1.9,1.5,2.4
2007,308239,52,84,1.8,1.5,2.2
2008,313843,48,76,2.8,2.2,3.4
2009,319660,39,56,2.5,2.1,2.9
2010,325694,36,51,2.3,2,2.5
2011,331964,33,43,1.9,1.7,2.1
2012,338442,41,65,2,1.8,2.2
1990,7964066,76,138,15,6.4,26
1991,8130473,77,136,14,6.3,26
1992,8322743,78,135,14,6.2,25
1993,8535338,79,134,14,6.1,25
1994,8759442,80,132,14,6.1,24
1995,8988853,80,131,13,6,24
1996,9222157,80,128,13,5.9,23
1997,9462256,80,125,13,5.8,22
1998,9712365,79,121,12,5.6,22
1999,9977308,78,119,12,5.5,21
2000,10260577,77,117,12,5.5,21
2001,10562768,76,115,12,5.4,21
2002,10882662,74,112,12,5.4,21
2003,11219737,72,110,12,5.3,20
2004,11572936,71,108,11,5.1,20
2005,11941258,69,105,11,5,19
2006,12325545,68,101,10,4.9,18
2007,12725629,67,100,10,4.8,18
2008,13138299,65,97,9.8,4.6,17
2009,13559296,64,95,9.5,4.5,16
2010,13985961,63,94,9.3,4.4,16
2011,14416737,62,94,9.1,4.4,16
2012,14853572,60,92,9,4.3,15
1990,375295,4,6.8,0.28,0.27,0.29
1991,379551,7.9,12,1.1,1.1,1.1
1992,383872,9,15,0.27,0.27,0.28
1993,388114,7.7,12,0.55,0.53,0.57
1994,392075,7.3,11,0,0,0
1995,395615,3.2,6.1,0.27,0.26,0.28
1996,398698,8.1,14,0.27,0.26,0.28
1997,401373,3.2,5.3,0.26,0.25,0.26
1998,403688,4.6,5.8,0.5,0.5,0.51
1999,405716,6.2,10,0.5,0.49,0.5
2000,407529,4.5,6.2,0.25,0.25,0.25
2001,409116,4.5,6.2,0.24,0.24,0.24
2002,410493,6.7,11,0.24,0.24,0.25
2003,411790,2,5,0.24,0.24,0.24
2004,413170,5,5.9,0.26,0.25,0.27
2005,414747,6.1,7.5,0.23,0.23,0.23
2006,416584,8.3,12,0.23,0.23,0.23
2007,418640,10,16,0.94,0.93,0.94
2008,420796,13,22,0.22,0.22,0.22
2009,422872,11,17,0.22,0.22,0.22
2010,424738,7.9,10,0.25,0.24,0.25
2011,426356,8.1,10,0.69,0.69,0.69
2012,427764,11,16,0.37,0.36,0.37
1990,47300,137,251,28,0.08,130
1991,48481,147,257,28,3.9,75
1992,49382,156,267,28,0.27,117
1993,50052,167,284,30,0.15,132
1994,50577,178,305,32,0.33,133
1995,51020,190,332,35,0.72,134
1996,51397,203,364,40,1.6,137
