year,pop,inc100k,prev100k,mort100k,mort100klo,mort100khi
2004,10440977,12,17,0.41,0.4,0.41
2005,10508080,12,16,0.59,0.59,0.6
2006,10587731,11,15,0.37,0.37,0.38
2007,10678058,10,13,0.46,0.45,0.47
2008,10772572,10,13,0.46,0.46,0.47
2009,10862441,11,15,0.33,0.32,0.33
2010,10941288,11,15,0.4,0.39,0.4
2011,11006632,10,14,0.38,0.37,0.38
2012,11060095,9.7,13,0.36,0.35,0.36
1990,187552,40,55,2.5,1.9,3.1
1991,191368,40,52,9.6,7.8,12
1992,194894,40,48,5,4.2,5.8
1993,198420,40,45,2.6,2.2,2.9
1994,202348,40,47,6.4,5.1,7.8
1995,206962,40,49,7,6.3,7.7
1996,212375,40,50,8,6.5,9.7
1997,218484,40,52,6.9,6.6,7.3
1998,225083,40,53,17,17,18
1999,231860,40,53,8.6,7.9,9.3
2000,238586,40,52,3.3,3.2,3.3
2001,245198,40,51,8.8,8.4,9.1
2002,251766,40,47,6.8,6.7,6.9
2003,258346,40,43,5.9,5.9,6
2004,265040,40,45,2.8,2.7,2.8
2005,271920,40,48,2.2,2.1,2.2
2006,278985,40,50,5.6,5.6,5.7
2007,286196,40,51,2.8,2.7,2.8
2008,293544,40,53,5.3,5.2,5.4
2009,301016,40,53,4.1,4,4.1
2010,308595,40,53,4.3,4.3,4.3
2011,316280,40,52,4.3,4.3,4.3
2012,324060,40,51,4.3,4.3,4.3
1990,5001271,128,195,19,7.9,36
1991,5182525,120,179,18,7.5,34
1992,5378226,113,168,18,7.2,32
1993,5582420,108,158,17,6.9,31
1994,5786794,103,152,16,6.7,30
1995,5985658,100,149,16,6.6,29
1996,6176318,97,146,15,6.4,28
1997,6361301,94,145,15,6.3,28
1998,6546493,92,141,15,6.1,27
1999,6740491,89,138,14,6,26
2000,6949366,86,134,14,5.8,25
2001,7174911,83,128,13,5.5,24
2002,7414744,80,124,12,5.3,22
2003,7665681,78,120,12,5.1,21
2004,7922796,76,116,11,4.9,20
2005,8182362,74,113,11,4.7,19
2006,8443671,70,107,10,4.4,18
2007,8707490,69,106,9.7,4.3,17
2008,8973293,71,110,9.7,4.3,17
2009,9240783,70,108,9.5,4.2,17
2010,9509798,69,107,9.3,4.1,16
2011,9779795,70,109,9.3,4.1,17
2012,10050702,70,110,9.4,4.2,17
1990,59798,0,3.9,0,0,0
1991,60152,5.7,8.5,0,0,0
1992,60485,7.6,13,1.7,1.7,1.7
1993,60801,7.6,13,1.7,1.7,1.7
1994,61106,7.5,13,0,0,0
1995,61407,7.5,13,0,0,0
1996,61703,0,3.6,0,0,0
1997,61992,7.4,16,0,0,0
1998,62276,0,1.3,0,0,0
1999,62557,0,1,0,0,0
2000,62837,0,1.2,0,0,0
2001,63116,0,1.6,0,0,0
2002,63393,0,2.8,0,0,0
2003,63661,5.4,7.8,0,0,0
2004,63911,11,20,0,0,0
2005,64137,8.1,13,0,0,0
2006,64337,5.4,6.4,0,0,0
2007,64512,4.5,5.3,0,0,0
2008,64667,3.6,4.9,0,0,0
2009,64812,2.7,4.4,0.18,0.18,0.18
2010,64951,1.8,3.8,0.18,0.18,0.18
2011,65086,1.8,3,0.18,0.18,0.18
2012,65216,5.3,11,0.18,0.18,0.18
1990,535738,784,1860,194,77,365
1991,534905,733,1707,187,74,350
1992,528304,686,1560,221,87,416
1993,519056,641,1425,208,82,392
1994,511588,600,1298,130,53,242
1995,509105,561,1185,109,45,200
1996,512594,525,1070,99,41,181
1997,521146,491,952,93,39,169
1998,533737,459,860,79,34,143
1999,548599,429,796,78,33,142
2000,564350,402,754,73,31,132
2001,580888,376,713,72,31,130
2002,598455,351,666,62,27,112
2003,616383,329,625,60,26,108
2004,633893,307,580,56,24,101
2005,650417,287,536,53,25,92
2006,665568,269,490,49,21,87
2007,679365,251,444,37,15,67
2008,692159,235,400,36,16,64
2009,704542,220,357,27,14,45
2010,716939,206,313,15,9.5,22
2011,729429,192,269,15,9.4,22
2012,741822,180,225,14,8.4,21
1990,6794046,251,419,40,10,89
1991,6956736,244,404,38,11,83
1992,7123294,236,390,37,11,79
1993,7292745,229,377,36,12,72
1994,7463773,222,364,34,13,66
1995,7635362,215,352,33,15,58
1996,7806953,209,340,32,13,58
1997,7978521,202,327,30,13,56
1998,8150214,196,316,29,12,53
1999,8322408,190,307,28,12,52
2000,8495271,184,299,28,12,51
2001,8669066,179,291,27,11,50
2002,8843350,173,282,26,11,48
2003,9016787,168,272,25,11,46
2004,9187610,163,265,25,10,45
2005,9354709,158,258,24,10,44
2006,9517395,153,251,24,10,43
2007,9676456,148,245,23,9.8,42
2008,9834098,144,240,23,9.6,41
2009,9993406,140,233,22,9.4,40
2010,10156601,135,227,22,9.3,39
2011,10324445,131,221,21,9.1,38
2012,10496285,127,215,21,8.8,37
2010,17616,0,,0,0,0
2011,18194,6.3,8.1,0,0,0
2012,18694,0,,0,0,0
1990,4526511,94,145,10,9.7,11
1991,4373715,92,147,6.6,6.3,6.9
1992,4143068,93,152,6.5,6.2,6.8
1993,3882548,92,150,6.4,6.1,6.8
1994,3659409,89,143,6.3,6,6.7
1995,3520996,84,131,6.3,5.9,6.6
1996,3485575,83,121,6.2,5.8,6.6
1997,3535998,81,107,6.1,5.7,6.5
1998,3640821,79,95,6,5.6,6.4
1999,3752004,71,78,5.9,5.5,6.4
2000,3834364,63,73,5.9,5.5,6.3
2001,3879353,58,68,5.8,5.4,6.2
2002,3897579,56,64,5.7,5.3,6.2
2003,3895779,55,60,5.6,5.2,6.1
2004,3886723,53,60,5.6,5.1,6.1
2005,3879828,52,59,5.5,5,6
2006,3875157,52,60,5.4,5,5.9
2007,3868665,51,61,5.4,4.9,5.9
2008,3861201,51,63,5.3,4.8,5.8
2009,3853446,50,65,5.2,4.7,5.8
2010,3845929,50,67,5.2,4.6,5.7
2011,3839322,49,70,5.1,4.6,5.7
